N,P,K,temperature,humidity,ph,rainfall,label
50,60,52,35.19889621,97.2349765,6.669119838,49.01957612,papaya
49,62,54,36.95371989,97.43077944,6.841442121,52.82248538,papaya
56,54,48,38.49058604,97.62658238,6.579470041,58.60511653,papaya
47,57,51,39.38086403,97.82238532,6.742373431,54.01539819,papaya
55,61,53,40.25990251,98.01818825,6.939647324,46.26966155,papaya
58,55,50,41.08149114,98.21399119,6.592189384,51.88727549,papaya
51,59,51,42.33491447,98.40979413,6.743401768,68.59107842,papaya
54,62,49,43.00245976,98.60559707,6.855080399,56.22437328,papaya
49,58,52,28.1105713,98.80140001,6.658732735,61.84198722,papaya
52,61,51,29.18925814,98.99720294,6.81031949,59.47528209,papaya
53,64,54,30.40239358,99.19300588,6.676858117,64.09289603,papaya
59,60,50,31.46615709,99.38880882,6.742601491,71.72619188,papaya
56,63,49,32.6422518,99.58461176,6.805440504,63.35948674,papaya
50,57,53,33.76748311,99.7804147,6.632080227,54.99278159,papaya
57,60,52,34.81725162,99.97621764,6.768950002,67.62607645,papaya
58,64,51,35.62975783,100.1720206,6.693201199,59.25937131,papaya
51,59,54,36.89016888,100.3678235,6.81362322,72.39266616,papaya
54,63,55,38.04126499,100.5636265,6.934199404,81.02596102,papaya
52,65,53,39.14913534,100.7594295,6.757131238,68.39166617,papaya
7,11,32,29.25902906,95.11294697,5.542169139,184.7624496,coconut
39,5,31,27.10134661,93.69979946,5.551963184,150.9502632,coconut
34,6,27,25.84726298,90.92669463,5.860740481,147.8888994,coconut
31,30,29,26.58580443,90.98617591,5.558807063,178.8116076,coconut
25,7,35,28.38503882,99.18843684,5.55771171,189.6711349,coconut
16,14,26,28.43647052,91.81320717,5.568365926,145.5414413,coconut
26,10,33,28.27298134,96.93649473,6.07071786,198.8234862,coconut
27,8,32,27.00648436,96.46168931,5.627860549,144.3331315,coconut
37,22,30,27.63551259,99.34854917,6.38488418,157.9171537,coconut
19,15,34,26.29644905,99.65809151,5.685889066,215.9195049,coconut
0,19,33,27.1326009,95.23797989,6.234458417,204.7206567,coconut
31,20,26,25.56567803,97.61361544,6.443168642,199.7936345,coconut
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut
22,11,29,28.03380598,95.01630593,5.955742971,218.0055713,coconut
31,6,26,29.12859129,91.30924833,5.741367375,157.2388553,coconut
34,6,30,27.0828252,97.00155491,5.948342571,171.7575545,coconut
24,6,32,28.11321494,90.01734526,6.387067562,172.4813641,coconut
1,8,26,27.5136304,94.18955816,5.562911913,156.6732553,coconut
31,13,33,27.63834933,95.48763389,5.85971872,205.5463111,coconut
10,9,28,29.01256899,94.01014388,6.282955073,150.0500312,coconut
5,16,32,28.42750329,92.70314695,5.951928763,182.414188,coconut
30,12,29,27.99428788,91.85272949,6.119224125,194.6945527,coconut
14,23,34,26.47096561,96.08168318,5.737845825,212.3136046,coconut
23,18,33,27.10767412,95.27573526,6.197257736,200.1470795,coconut
20,21,26,26.81942318,91.59821615,6.02786025,174.6969502,coconut
8,14,35,28.61871394,98.20378705,5.750390494,190.5184885,coconut
15,28,26,28.74344287,92.29682703,5.881465285,171.9040423,coconut
35,25,33,28.57524478,97.42098001,6.386638222,185.798316,coconut
26,27,32,27.25874781,96.53417299,6.179610801,175.0425897,coconut
18,18,30,27.88977715,99.08809595,5.88065424,156.3724818,coconut
12,16,34,26.55098617,94.35661756,6.018559741,188.0847585,coconut
24,19,31,27.30950526,93.55067063,5.784968148,166.2100541,coconut
30,13,27,26.88239698,90.77356682,6.332745549,152.8110023,coconut
6,21,33,28.08302805,93.66672409,5.902078427,203.5347445,coconut
32,8,29,28.40813633,91.85962211,5.910983073,171.4229362,coconut
15,25,31,27.67066707,91.24569317,5.806539905,149.0315744,coconut
28,15,28,29.22181956,94.1384661,5.862629254,159.7873007,coconut
25,22,30,27.17594655,95.52357002,6.335373334,176.0820269,coconut
27,20,33,27.74907717,94.7176221,5.898753695,190.9035652,coconut
14,10,26,29.31484842,98.31273198,6.08746369,162.2287715,coconut
38,18,28,27.59611795,97.50678308,6.263650443,168.4234978,coconut
7,23,32,29.39967735,96.70083515,5.930546892,193.2492876,coconut
11,15,29,29.77570859,95.89488723,5.862467432,201.2043195,coconut
17,19,31,28.6346581,95.08893931,5.838853951,183.7800601,coconut
29,11,26,28.75938703,94.28299139,6.292356925,172.8508413,coconut
40,13,32,28.50219893,93.47704346,5.688913394,162.0951151,coconut
11,12,29,28.17387051,96.03347052,6.079924275,149.9294328,coconut
9,10,33,28.29759944,97.84141844,6.329700468,146.7241581,coconut
31,26,26,28.13311026,92.01436461,5.745392816,134.558899,coconut
3,17,31,27.30504144,94.82231237,5.990776964,160.3436306,coconut
126,50,19,24.69457084,81.7358876,6.628722836,78.58494391,cotton
113,41,20,25.0017188,80.53965818,7.256877571,96.32600992,cotton
121,33,22,22.45942937,81.30681027,6.443785385,64.23026638,cotton
121,47,16,23.60564038,79.29573149,7.723240151,72.49800885,cotton
129,60,22,24.58453146,79.12404171,5.947448589,71.94608134,cotton
107,30,25,23.0865933,83.55546146,7.227745516,71.84080724,cotton
122,59,21,23.5000992,83.63488952,6.219469084,79.81328183,cotton
140,38,23,24.1472953,75.88298598,6.021439523,69.91563467,cotton
102,49,21,24.69315538,84.84422454,6.253343655,89.799462,cotton
111,40,25,24.484692,84.44932014,6.187455799,90.94342484,cotton
131,35,20,24.49112609,82.24415809,7.057693366,64.02949379,cotton
135,43,16,23.47986888,81.73049149,6.720449769,86.76287924,cotton
100,46,24,24.18586246,76.04203958,6.431689506,69.08056728,cotton
123,39,24,25.00755095,78.17952126,7.453106264,86.06411872,cotton
117,56,15,25.99237426,0,7.368258226,89.1188212,cotton
121,36,24,23.66457347,81.69105088,7.352401887,99.36898373,cotton
101,58,22,25.66891439,81.38103349,6.652143699,78.59595817,cotton
107,42,20,22.04612876,84.62978302,6.144631795,86.00758678,cotton
124,37,18,23.42341681,80.92877971,6.942286741,70.48678345,cotton
118,48,20,23.93248157,81.87551562,7.198065432,94.20776432,cotton
110,44,16,23.88769088,82.97237209,6.841711689,84.71634233,cotton
129,38,25,24.21814477,79.44698237,6.326479172,75.20930867,cotton
136,50,21,25.33105059,83.14854671,6.469268844,82.15009386,cotton
115,35,22,23.09824465,80.74468824,6.888835264,79.32157217,cotton
120,45,24,25.45531964,77.92567351,7.092883214,88.34649711,cotton
119,53,20,23.7398591,83.73154728,6.785870072,91.94280153,cotton
128,39,23,24.85353768,80.33070233,7.338574003,65.78491023,cotton
134,47,19,24.37630024,82.4693261,6.554791275,76.51541042,cotton
105,40,25,23.88320697,81.06463309,7.275512473,68.73268915,cotton
114,34,23,24.05879357,79.58954262,6.577850689,75.22039564,cotton
109,37,20,25.40787488,83.92840134,7.048258744,74.22475398,cotton
112,52,21,24.76806929,84.50401436,7.079644077,90.1637732,cotton
130,36,17,24.11408798,82.38458688,6.235397171,87.8342548,cotton
126,54,19,24.79950291,82.96848479,6.688219831,80.3779771,cotton
116,43,21,24.38222913,78.15757506,7.294168413,94.4319396,cotton
118,57,23,24.53931622,81.01203569,6.288155959,68.11342624,cotton
127,49,20,23.94400348,82.80445614,6.823836594,84.75608974,cotton
131,55,25,25.2257383,79.79314067,7.137501863,91.99826578,cotton
122,36,24,25.31126743,83.56068552,6.319300553,73.21937094,cotton
113,38,18,24.44778174,81.65613035,7.07102106,66.78631027,cotton
120,46,25,24.95684649,78.83711562,7.121016414,89.11625053,cotton
114,51,23,25.2185534,83.67611343,6.99076555,72.4759126,cotton
133,35,22,23.77604899,82.80358558,6.630165696,85.20301089,cotton
126,42,24,24.28825003,79.00119298,6.641779706,79.12329748,cotton
107,37,21,23.58603566,81.09173141,6.75780879,69.35209431,cotton
121,48,17,23.66307725,80.77954416,6.146448393,65.91720764,cotton
119,44,24,25.10254855,77.2584369,6.376630292,80.74311278,cotton
114,49,20,25.48982943,83.99939415,6.254711075,82.45280933,cotton
60,37,39,26.59104992,82.94164078,6.033485257,161.2469997,jute
63,41,42,25.29781791,86.8870535,7.121933579,196.6249511,jute
86,40,39,25.72100868,88.16513579,6.207459637,175.6086697,jute
96,41,40,23.58419277,72.00460848,6.090060478,190.4242157,jute
100,35,36,25.31042337,72.01364411,6.346715209,190.5577618,jute
63,37,43,23.41798979,85.08640476,6.661957897,185.7446728,jute
79,43,40,24.35564134,88.80391021,6.176860192,169.1168028,jute
67,55,44,26.284017,75.14640198,7.251847296,182.2685447,jute
74,40,40,25.13842773,83.12053888,6.386259978,169.3388465,jute
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute
74,46,45,25.75734909,88.36668522,6.025028997,189.4263485,jute
89,41,38,23.12844351,74.68322732,6.344751947,199.8362913,jute
60,55,40,24.9949957,88.95692783,7.02777956,151.4935635,jute
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,jute
80,38,35,24.39736241,79.26861738,7.014063944,164.2697011,jute
74,49,38,23.31410442,71.4509053,7.488014404,164.4970373,jute
90,40,39,25.72668885,81.86171563,6.626503893,191.9649389,jute
82,35,44,26.96656378,78.21047693,6.239011,169.8391177,jute
73,42,37,23.70467146,74.63745355,6.742688094,181.2783964,jute
70,39,41,25.46362819,87.9441248,6.185797782,176.3205482,jute
84,47,42,25.89142976,76.12859734,6.579702614,182.0741269,jute
77,51,39,23.96089993,73.38155828,6.743900837,198.1746376,jute
69,50,36,24.59483017,85.03314286,6.919740542,197.7964111,jute
93,48,43,23.80914613,76.05944862,7.021529067,196.9945669,jute
85,37,41,24.28490368,83.61281547,6.727356999,165.9273648,jute
76,54,38,25.190471,79.66162041,6.402146305,188.2419275,jute
92,45,39,24.83879554,87.16891362,7.046960813,167.6135402,jute
78,52,40,25.67230048,72.29955959,6.641319924,171.6657807,jute
95,38,37,23.5969101,77.98878321,6.201432235,191.7035433,jute
81,49,44,25.05383195,85.5123018,6.156057703,168.9132822,jute
70,42,41,26.00343286,87.34526711,6.460263161,158.7649634,jute
94,50,43,24.71840627,84.76128843,6.575975568,160.4274474,jute
68,36,38,25.92573123,76.42817621,6.926710508,176.9051522,jute
87,44,42,24.63511122,86.89014462,6.432581692,157.6027466,jute
79,53,37,23.37284913,74.28454172,6.729087125,178.1029565,jute
91,47,40,25.39871894,80.69324262,6.89518194,164.9846486,jute
72,39,45,24.69096584,84.47836961,6.634578796,168.3018265,jute
83,46,44,24.77301831,73.75908363,7.092670631,195.4218946,jute
88,43,39,24.32268091,78.63153906,6.351671772,193.2108223,jute
71,40,36,24.55735641,75.5100953,7.156142556,157.8243419,jute
75,44,37,26.26840909,83.73234767,6.18186047,169.2891373,jute
80,37,42,25.86452128,76.59131022,7.254876399,167.5121289,jute
97,45,38,25.59698035,79.85356774,6.452013019,174.7251367,jute
98,54,41,26.71752828,81.24151071,7.226750478,179.6253605,jute
81,51,43,24.83300731,86.51089932,6.019129247,195.7736656,jute
76,38,36,23.73618694,74.49539009,7.009824228,196.2913567,jute
89,52,37,25.46996465,87.36140294,7.02143133,160.7589145,jute
93,48,39,26.13497568,76.87753929,6.316451997,170.1951264,jute
94,50,40,25.921426,77.31117493,6.655111564,192.2768712,jute
77,43,38,23.91075839,81.55820656,6.202702736,167.6370713,jute
90,49,39,26.42215423,86.94710541,6.726762564,162.4614086,jute
103,33,33,26.71717393,50.50148528,7.131435858,126.8073984,coffee
93,26,27,24.59245684,56.46829641,7.288211994,137.7044047,coffee
104,35,28,27.51006055,50.66687215,6.983732393,143.9955548,coffee
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,coffee
107,38,29,26.65069302,57.56695719,6.35118177,145.105065,coffee
101,33,33,26.97251562,62.0183627,6.908671379,142.8610793,coffee
107,31,31,23.17124551,52.97841162,6.766184468,153.1201644,coffee
99,16,30,23.52652084,65.44340921,6.392791654,186.1728203,coffee
103,40,30,27.30901814,55.196224,6.348316257,141.4831644,coffee
118,31,34,27.54823036,62.88179198,6.123796057,181.4170812,coffee
106,21,35,25.627355,57.04151119,7.428523634,188.5506536,coffee
116,38,34,23.29250318,50.04557009,6.020947179,183.468585,coffee
97,35,26,24.91461008,53.74144743,6.334610249,166.2549307,coffee
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,coffee
99,15,27,27.41711238,56.63636248,6.086922359,127.92461,coffee
118,33,30,24.13179691,67.22512329,6.362607851,173.3228386,coffee
117,32,34,26.2724184,52.12739421,6.758792552,127.1752928,coffee
104,28,30,23.60301571,60.39647474,6.779832611,140.9370415,coffee
110,36,31,25.21115389,58.61427951,7.015874309,162.9034501,coffee
102,30,28,24.49870571,64.84562357,6.251083527,149.5672398,coffee
112,27,29,26.92819146,59.95730417,6.448732064,168.2157289,coffee
115,29,34,26.86545294,61.3176523,6.65011877,146.2297826,coffee
100,25,32,24.77890914,55.07237823,7.284967602,147.2153098,coffee
113,24,33,27.8731467,54.28021152,6.228900372,149.3575164,coffee
108,28,26,26.15348329,56.91747509,6.096892312,143.7096215,coffee
111,34,29,25.43520813,53.64180204,6.507792642,131.8446113,coffee
114,26,27,26.21951412,59.30175235,6.178762457,138.1522114,coffee
105,23,31,25.94376084,63.10213915,6.962784225,159.9428217,coffee
99,31,32,27.71235495,60.12943519,6.533007764,151.4698732,coffee
116,32,28,27.90155917,64.28620825,6.779374124,158.2779815,coffee
107,29,30,25.69091092,61.73939024,6.197332242,154.7389308,coffee
104,39,29,26.58242718,57.46198246,6.962696778,146.0321945,coffee
98,27,33,24.85389607,52.19599392,6.500793078,142.6495661,coffee
115,34,27,27.30248797,64.78532649,6.284083291,141.8447962,coffee
109,32,28,24.01967597,66.43790372,6.901046797,159.2362229,coffee
103,30,32,25.75084841,55.46599701,6.332111759,136.4878429,coffee
106,35,26,25.99845867,58.67225736,6.046119687,166.6513097,coffee
98,22,29,23.65029068,54.36816879,6.772167126,153.5847428,coffee
113,23,33,25.48182297,58.81489634,7.181289515,157.5143219,coffee
105,26,28,23.27426136,53.72973111,6.867377398,149.7840472,coffee
109,28,32,24.98888933,52.9638699,7.16782227,138.0462564,coffee
114,29,34,26.71053218,60.63290878,6.568172059,143.5295469,coffee
111,25,31,24.12581311,65.1873075,7.048575038,133.4319523,coffee
98,31,29,24.47546288,53.11448679,6.674245342,154.7411651,coffee
100,37,30,25.88701252,54.22819511,7.023134276,141.980879,coffee
120,34,26,25.65977902,63.01366534,7.042268219,155.4379042,coffee
117,26,27,27.37640173,61.71360749,6.506861354,142.7621949,coffee
108,33,32,25.42321715,59.60450294,6.276438189,135.6996823,coffee

